competency,resume_text,level
"Основы глубокого обучения","3 года работы с TensorFlow/Keras: transfer learning, кастомные слои. Обучил 50+ моделей для компьютерного зрения.",2
"Глубокое обучение для анализа естественного языка","5 лет NLP: BERT, GPT, T5. Разработал чат-бота с пониманием контекста на 3 языках. Публикации на ACL.",3
"Обучение с подкреплением","1.5 года исследований: DQN, PPO. Создал агента для игры в покер. Выступал на RL-конференциях.",2
"Анализ естественного языка","9 месяцев: NLTK, SpaCy. Создал парсер резюме с извлечением навыков. Токенизация 10+ языков.",1
"Информационный поиск","6 лет поисковых систем: ранжирование, query understanding. Улучшил точность поиска на 30% для 10M документов.",3
"Массово параллельные вычисления","2 года CUDA/OpenCL: ускорил inference в 8 раз. Оптимизировал memory access pattern для CNN.",2
"Потоковая обработка данных","3.5 года Kafka/Flink: exactly-once семантика, stateful обработка. Построил систему мониторинга в реальном времени.",3
"Машинное обучение на больших данных","4 года Spark/Featuretools: обработка 10TB+ данных. Разработал фреймворк для feature engineering.",3
"Глубокое обучение для анализа изображений","1 год CV: augmentation pipelines, transfer learning. Участвовал в конкурсе Kaggle (top 20%).",1
"Работа с распределенной кластерной системой","2 года Kubernetes/YARN: автомасштабирование, распределенные тренировки. Настроил GPU-кластер для DL.",2
"Процесс, стадии и методологии разработки","Автоматизировал ML пайплайны с Airflow (8 месяцев). Настраивал CI/CD для моделей в продакшн.",1
"Hadoop, SPARK, Hive","Разрабатывал ETL-процессы в Spark 3.0 (2 года). Оптимизировал партиционирование для ускорения jobs на 40%.",2
"Рекомендательные системы","Создал систему рекомендаций для 1M пользователей (4 года). Внедрил онлайн-обучение с Apache Flink.",3
"NoSQL базы данных","Настраивал репликацию в Cassandra (1.5 года). Реализовал TTL для временных данных.",2
"Массово параллельные вычисления","Ускорял numpy-код через Numba (6 месяцев). Параллелил preprocessing с multiprocessing.",1
"Потоковая обработка данных","Разрабатывал real-time дашборды с Kafka Streams (3 года). Обрабатывал 50K событий/сек с exactly-once.",3
"Статистические методы","Применял bootstrap для оценки доверительных интервалов (9 месяцев). Визуализировал распределения.",1
"Глубокое обучение для генерации изображений","Тренировал Stable Diffusion на доменных данных (2 года). Оптимизировал latent space.",2
"Обучение с подкреплением","Реализовал DDPG для управления роботом (1 год). Кастомизировал reward function.",2
"Информационный поиск","Настраивал ElasticSearch для e-commerce (5 лет). Разработал query expansion с word2vec.",3
"Методы оптимизации","Решал задачи vehicle routing с генетическими алгоритмами (3 года). Уменьшил mileage на 18%.",2
"Анализ естественного языка","Дообучал FastText для морфологического анализа (1.5 года). Создал pipeline для 15 языков.",2
"Качество и предобработка данных","Разработал систему валидации данных с Great Expectations (2 года). Ловил 95% аномалий.",2
"Языки программирования","Портировал legacy код с Python 2 на 3 (4 года). Рефакторил 50K строк с сохранением функционала.",3
"SQL базы данных","Писал сложные CTE для финансовой отчетности (6 месяцев). Создавал материализованные view.",1
"Основы глубокого обучения","Строил image classifier на ResNet (1 год). Настраивал learning rate scheduling.",1
"Работа с распределенной системой","Администрировал YARN-кластер (3 года). Балансировал ресурсы между 100+ задачами.",2
"Машинное обучение на больших данных","Обучал LightGBM на 100M строк (5 лет). Разработал incremental learning для потоков.",3
"Оценка качества методов ИИ","Внедрил мониторинг дрейфа данных (8 месяцев). Настраивал алерты при падении точности.",1
"Методы машинного обучения","Оптимизировал Random Forest под imbalance data (2 года). Кастомизировал split критерии.",2
"Определения и тренды ИИ","Организовывал AI meetups (1 год). Провел 10+ докладов про генеративные модели.",1
"Глубокое обучение для NLP","Разрабатывал BERT-based NER для медтекстов (3 года). Достиг F1=0.92 на доменных данных.",3
"Анализ изображений и видео","Создал детектор аномалий на видео (2 года). Использовал 3D CNN и optical flow.",2
"Массово параллельная обработка","Распараллелил feature engineering на Dask (1 год). Ускорил preprocessing в 5x.",2
"Глубокое обучение","Разработал архитектуру CNN-LSTM для таймсерий (4 года). Патент на подход.",3
"Data streaming","Настраивал Kafka Connect для CDC (1.5 года). Обеспечил delivery semantics.",2
"SPARK оптимизация","Уменьшил shuffle в Spark jobs на 70% (3 года). Применял broadcast variables.",3
"NoSQL производительность","Тюнил Cassandra под write-heavy нагрузку (2 года). Оптимизировал compaction strategy.",2
"Статмоделирование","Строил Bayesian сети для прогнозирования (1 год). Использовал PyMC3.",1
"CV preprocessing","Разработал albumentations pipeline (8 месяцев). Увеличил diversity аугментаций.",1
"Определения, история развития и главные тренды ИИ","Прошел курс 'Основы ИИ' на Coursera (4 недели). Читаю статьи про ChatGPT и компьютерное зрение.",1
"Процесс, стадии и методологии разработки","Собирал Docker-контейнер для Flask-приложения. Делал коммиты в Git'.",1
"Статистические методы","Считал среднее/медиану для датасета. Строил boxplot'ы в Seaborn для анализа распределений.",1
"Оценка качества методов ИИ","Рассчитывал accuracy и precision для учебного классификатора. Строил confusion matrix.",1
"Языки программирования","Писал скрипты на Python (Pandas/NumPy). Решал задачи на LeetCode (50+ решений).",1
"SQL базы данных","Делал SELECT с JOIN в PostgreSQL. Создавал таблицы и простые индексы.",1
"NoSQL базы данных","Загружал JSON-данные в MongoDB. Писал find()-запросы с базовыми фильтрами.",1
"Hadoop, SPARK, Hive","Запускал Spark в локальном режиме. Читал CSV в DataFrame и применял filter().",1
"Качество и предобработка данных","Заполнял пропуски средним значением. Кодировал категории через OneHotEncoder.",1
"Работа с распределенной системой","Подключался к удаленному серверу по SSH. Запускал задачи в фоновом режиме.",1
"Методы машинного обучения","Обучал модель на Scikit-learn (RandomForest). Подбирал гиперпараметры через GridSearch.",1
"Рекомендательные системы","Строил рекомендации по похожим пользователям (user-based) на маленьком датасете.",1
"Методы оптимизации","Реализовал градиентный спуск для линейной регрессии. Визуализировал сходимость.",1
"Основы глубокого обучения","Обучал CNN на CIFAR-10 (точность 70%). Использовал готовые слои из Keras.",1
"Анализ изображений и видео","Применял OpenCV для распознавания лиц. Делал resize и grayscale преобразования.",1
"Машинное обучение на больших данных","Обрабатывал CSV размером 1GB с помощью Pandas с chunking.",1
"Глубокое обучение для NLP","Токенизировал тексты через NLTK. Строил word2vec на маленьком корпусе.",1
"Обучение с подкреплением","Писал агента для FrozenLake из Gym. Использовал Q-learning с таблицей.",1
"Глубокое обучение для генерации","Генерировал цифры MNIST с помощью простого GAN (базовая реализация).",1
"Анализ естественного языка","Определял тональность отзывов через LogisticRegression. Считал TF-IDF.",1
"Информационный поиск","Искал документы по ключевым словам через ElasticSearch (match_query).",1
"Массово параллельные вычисления","Запускал матричные операции на GPU через CuPy. Использовал PyTorch DataLoader.",1
"Потоковая обработка данных","Читал поток твитов через Tweepy. Сохранял в CSV порциями по 1000 записей.",1
"Массово параллельная обработка","Параллелил циклы через multiprocessing.Pool (4 ядра).",1
